round,client_id,reputation,malicious
1,0,1.0,0
1,1,1.0,1
1,2,1.0,0
1,3,1.0,0
1,4,1.0,0
1,5,1.0,0
1,6,1.0,0
1,7,1.0,0
1,8,1.0,0
1,9,0.65,1
1,10,1.0,0
1,11,1.0,0
1,12,1.0,0
1,13,1.0,0
1,14,1.0,0
1,15,1.0,0
1,16,1.0,0
1,17,1.0,0
1,18,1.0,0
1,19,1.0,0
2,0,1.0,0
2,1,0.65,1
2,2,0.7641454187480221,0
2,3,1.0,0
2,4,1.0,0
2,5,1.0,0
2,6,1.0,0
2,7,1.0,0
2,8,1.0,0
2,9,0.65,1
2,10,1.0,0
2,11,1.0,0
2,12,1.0,0
2,13,1.0,0
2,14,1.0,0
2,15,1.0,0
2,16,1.0,0
2,17,1.0,0
2,18,1.0,0
2,19,1.0,0
3,0,1.0,0
3,1,0.65,1
3,2,0.6167875333113304,0
3,3,1.0,0
3,4,1.0,0
3,5,1.0,0
3,6,1.0,0
3,7,1.0,0
3,8,1.0,0
3,9,0.42250000000000004,1
3,10,1.0,0
3,11,1.0,0
3,12,1.0,0
3,13,1.0,0
3,14,1.0,0
3,15,1.0,0
3,16,1.0,0
3,17,1.0,0
3,18,1.0,0
3,19,1.0,0
4,0,1.0,0
4,1,0.65,1
4,2,0.48780264239869775,0
4,3,1.0,0
4,4,1.0,0
4,5,1.0,0
4,6,1.0,0
4,7,1.0,0
4,8,1.0,0
4,9,0.27462500000000006,1
4,10,1.0,0
4,11,1.0,0
4,12,1.0,0
4,13,1.0,0
4,14,1.0,0
4,15,1.0,0
4,16,1.0,0
4,17,1.0,0
4,18,1.0,0
4,19,1.0,0
5,0,1.0,0
5,1,0.65,1
5,2,0.37638912484086556,0
5,3,1.0,0
5,4,1.0,0
5,5,1.0,0
5,6,1.0,0
5,7,1.0,0
5,8,1.0,0
5,9,0.17850625000000006,1
5,10,1.0,0
5,11,1.0,0
5,12,1.0,0
5,13,1.0,0
5,14,1.0,0
5,15,1.0,0
5,16,1.0,0
5,17,1.0,0
5,18,1.0,0
5,19,1.0,0
6,0,1.0,0
6,1,0.42250000000000004,1
6,2,0.2843386480195148,0
6,3,1.0,0
6,4,1.0,0
6,5,1.0,0
6,6,1.0,0
6,7,1.0,0
6,8,1.0,0
6,9,0.17850625000000006,1
6,10,1.0,0
6,11,1.0,0
6,12,1.0,0
6,13,1.0,0
6,14,1.0,0
6,15,1.0,0
6,16,1.0,0
6,17,1.0,0
6,18,1.0,0
6,19,1.0,0
7,0,1.0,0
7,1,0.3293674411478458,1
7,2,0.3201217156185391,0
7,3,1.0,0
7,4,1.0,0
7,5,1.0,0
7,6,1.0,0
7,7,1.0,0
7,8,1.0,0
7,9,0.11602906250000004,1
7,10,1.0,0
7,11,1.0,0
7,12,1.0,0
7,13,1.0,0
7,14,1.0,0
7,15,1.0,0
7,16,1.0,0
7,17,1.0,0
7,18,1.0,0
7,19,1.0,0
8,0,1.0,0
8,1,0.3293674411478458,1
8,2,0.35411562983761213,0
8,3,1.0,0
8,4,1.0,0
8,5,1.0,0
8,6,1.0,0
8,7,1.0,0
8,8,1.0,0
8,9,0.07541889062500003,1
8,10,1.0,0
8,11,1.0,0
8,12,0.8180056118482031,0
8,13,1.0,0
8,14,1.0,0
8,15,1.0,0
8,16,1.0,0
8,17,1.0,0
8,18,1.0,0
8,19,1.0,0
9,0,1.0,0
9,1,0.21408883674609977,1
9,2,0.2512953739378504,0
9,3,1.0,0
9,4,1.0,0
9,5,1.0,0
9,6,1.0,0
9,7,1.0,0
9,8,1.0,0
9,9,0.07541889062500003,1
9,10,1.0,0
9,11,1.0,0
9,12,0.8180056118482031,0
9,13,1.0,0
9,14,1.0,0
9,15,1.0,0
9,16,0.7913955827082035,0
9,17,1.0,0
9,18,1.0,0
9,19,1.0,0
10,0,1.0,0
10,1,0.1711556766116516,1
10,2,0.2887306052409579,0
10,3,1.0,0
10,4,1.0,0
10,5,1.0,0
10,6,1.0,0
10,7,1.0,0
10,8,1.0,0
10,9,0.05,1
10,10,1.0,0
10,11,1.0,0
10,12,0.8180056118482031,0
10,13,1.0,0
10,14,1.0,0
10,15,1.0,0
10,16,0.8018258035727933,0
10,17,1.0,0
10,18,1.0,0
10,19,1.0,0
11,0,0.6969514513570404,0
11,1,0.1711556766116516,1
11,2,0.2887306052409579,0
11,3,1.0,0
11,4,0.693197494714124,0
11,5,1.0,0
11,6,1.0,0
11,7,1.0,0
11,8,1.0,0
11,9,0.05,1
11,10,1.0,0
11,11,1.0,0
11,12,0.531703647701332,0
11,13,1.0,0
11,14,1.0,0
11,15,1.0,0
11,16,0.8018258035727933,0
11,17,1.0,0
11,18,1.0,0
11,19,1.0,0
12,0,0.6969514513570404,0
12,1,0.11125118979757354,1
12,2,0.22847475704222064,0
12,3,1.0,0
12,4,0.693197494714124,0
12,5,1.0,0
12,6,1.0,0
12,7,1.0,0
12,8,1.0,0
12,9,0.05,1
12,10,1.0,0
12,11,1.0,0
12,12,0.5551184653162654,0
12,13,1.0,0
12,14,1.0,0
12,15,1.0,0
12,16,0.8018258035727933,0
12,17,1.0,0
12,18,1.0,0
12,19,1.0,0
13,0,0.7121038787891883,0
13,1,0.11125118979757354,1
13,2,0.14850859207744344,0
13,3,1.0,0
13,4,0.693197494714124,0
13,5,1.0,0
13,6,1.0,0
13,7,1.0,0
13,8,1.0,0
13,9,0.05,1
13,10,1.0,0
13,11,1.0,0
13,12,0.5773625420504521,0
13,13,0.7545143188385539,0
13,14,1.0,0
13,15,1.0,0
13,16,0.8018258035727933,0
13,17,1.0,0
13,18,1.0,0
13,19,1.0,0
14,0,0.7121038787891883,0
14,1,0.08421938601951992,1
14,2,0.14850859207744344,0
14,3,1.0,0
14,4,0.693197494714124,0
14,5,1.0,0
14,6,1.0,0
14,7,1.0,0
14,8,1.0,0
14,9,0.05,1
14,10,1.0,0
14,11,1.0,0
14,12,0.5984944149479295,0
14,13,0.7545143188385539,0
14,14,1.0,0
14,15,1.0,0
14,16,0.8018258035727933,0
14,17,1.0,0
14,18,1.0,0
14,19,1.0,0
15,0,0.7264986848497289,0
15,1,0.05934388887882897,1
15,2,0.14850859207744344,0
15,3,1.0,0
15,4,0.693197494714124,0
15,5,1.0,0
15,6,1.0,0
15,7,1.0,0
15,8,1.0,0
15,9,0.05,1
15,10,1.0,0
15,11,1.0,0
15,12,0.6185696942005331,0
15,13,0.7667886028966262,0
15,14,1.0,0
15,15,1.0,0
15,16,0.8018258035727933,0
15,17,0.7123835370398683,0
15,18,1.0,0
15,19,1.0,0
16,0,0.7264986848497289,0
16,1,0.05934388887882897,1
16,2,0.09653058485033823,0
16,3,1.0,0
16,4,0.7085376199784178,0
16,5,1.0,0
