phase,dataset,distribution,attack,defense,malicious_ratio,ablation,final_accuracy_mean,final_accuracy_std,final_accuracy_count,best_accuracy_mean,best_accuracy_std,best_accuracy_count,final_f1_mean,final_f1_std,final_f1_count,mean_f1_mean,mean_f1_std,mean_f1_count,final_fpr_mean,final_fpr_std,final_fpr_count,mean_fpr_mean,mean_fpr_std,mean_fpr_count,mean_runtime_sec_mean,mean_runtime_sec_std,mean_runtime_sec_count,final_ledger_bytes_mean,final_ledger_bytes_std,final_ledger_bytes_count
ablation,fashion_mnist,alpha_0.5,model_scaling,trustfl_chain,0.2,cosine_only,0.4688333333333334,0.16741888583231382,3,0.6813333333333333,0.006211548384528051,3,0.16666666666666666,0.2886751345948129,3,0.08592592592592592,0.03689045065859508,3,0.22023809523809523,0.08438956475451086,3,0.22868606701940034,0.01081894417294801,3,1.516068092981974,0.008340334398256393,3,52228.666666666664,175.7763730804956,3
ablation,fashion_mnist,alpha_0.5,model_scaling,trustfl_chain,0.2,no_ledger,0.7096666666666667,0.014545904349105725,3,0.7241666666666666,0.008251262529657728,3,0.8190476190476191,0.032991443953692856,3,0.8026455026455027,0.006782038981168224,3,0.13095238095238093,0.010309826235528995,3,0.09939594356261021,0.023375303938654977,3,1.630414933628506,0.04398338135667719,3,0.0,0.0,3
ablation,fashion_mnist,alpha_0.5,model_scaling,trustfl_chain,0.2,no_reputation,0.5924999999999999,0.13339321571954096,3,0.7133333333333333,0.011015141094572205,3,0.8857142857142857,0.1030157507275426,3,0.7675132275132276,0.02176981860511492,3,0.08928571428571426,0.07783748113465486,3,0.11318783068783067,0.01279606548955973,3,1.6256482468711004,0.03432096743233416,3,53026.333333333336,12.701705922172293,3
ablation,fashion_mnist,alpha_0.5,model_scaling,trustfl_chain,0.2,no_temporal,0.7134999999999999,0.018255136263528617,3,0.723,0.009539392014169439,3,0.7555555555555555,0.07698003589195015,3,0.7985802469135802,0.04456390104527864,3,0.22619047619047616,0.17526704600399348,3,0.10955908289241621,0.02172747929839724,3,1.6249098247951934,0.009316559972443328,3,54605.666666666664,98.64245198358199,3
cifar_supplement,cifar10,alpha_0.5,gaussian_noise,cosine,0.2,full,0.095,,1,0.1155,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,1.2289100170135498,,1,33145.0,,1
cifar_supplement,cifar10,alpha_0.5,gaussian_noise,fedavg,0.2,full,0.092,,1,0.1355,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,1.1860886216163635,,1,33144.0,,1
cifar_supplement,cifar10,alpha_0.5,gaussian_noise,trimmed_mean,0.2,full,0.2325,,1,0.2325,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,1.3099496483802795,,1,33143.0,,1
cifar_supplement,cifar10,alpha_0.5,gaussian_noise,trustfl_chain,0.2,full,0.3015,,1,0.3015,,1,0.8571428571428571,,1,0.7736904761904763,,1,0.1428571428571428,,1,0.09892857142857142,,1,1.5727158665657044,,1,36298.0,,1
cifar_supplement,cifar10,alpha_0.5,model_scaling,cosine,0.2,full,0.11,,1,0.192,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,1.3926769614219665,,1,33147.0,,1
cifar_supplement,cifar10,alpha_0.5,model_scaling,fedavg,0.2,full,0.1225,,1,0.212,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,1.6228283762931823,,1,33143.0,,1
cifar_supplement,cifar10,alpha_0.5,model_scaling,trimmed_mean,0.2,full,0.185,,1,0.1985,,1,0.0,,1,0.0,,1,0.0,,1,0.0,,1,1.7991106033325195,,1,33146.0,,1
cifar_supplement,cifar10,alpha_0.5,model_scaling,trustfl_chain,0.2,full,0.236,,1,0.236,,1,0.7499999999999999,,1,0.8186111111111112,,1,0.2857142857142857,,1,0.0863690476190476,,1,1.510004723072052,,1,36388.0,,1
main,fashion_mnist,alpha_0.1,gaussian_noise,cosine,0.2,full,0.13166666666666668,0.004509249752822898,3,0.19733333333333336,0.03134219732777734,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.305084302690294,0.3146234011965896,3,49725.666666666664,5.507570547285496,3
main,fashion_mnist,alpha_0.1,gaussian_noise,fedavg,0.2,full,0.22666666666666666,0.12907491364836673,3,0.3621666666666667,0.044255884731110445,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.2905455006493463,0.3027410889152275,3,49723.666666666664,1.1547005383803017,3
main,fashion_mnist,alpha_0.1,gaussian_noise,trimmed_mean,0.2,full,0.5578333333333334,0.044923082411309864,3,0.644,0.0212190951739229,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3386978122923108,0.30177610809872196,3,49726.333333333336,2.0816659994654048,3
main,fashion_mnist,alpha_0.1,gaussian_noise,trustfl_chain,0.2,full,0.7276666666666666,0.03464221894355693,3,0.7444999999999999,0.022355088906108152,3,0.8190476190476191,0.032991443953692856,3,0.8125132275132275,0.027650540033705172,3,0.13095238095238093,0.010309826235528995,3,0.1141710758377425,0.02879147557713814,3,1.4322767310672335,0.295384469598525,3,54637.0,194.5559045621592,3
