phase,dataset,distribution,attack,defense,malicious_ratio,ablation,final_accuracy_mean,final_accuracy_std,final_accuracy_count,best_accuracy_mean,best_accuracy_std,best_accuracy_count,final_f1_mean,final_f1_std,final_f1_count,mean_f1_mean,mean_f1_std,mean_f1_count,final_fpr_mean,final_fpr_std,final_fpr_count,mean_fpr_mean,mean_fpr_std,mean_fpr_count,mean_runtime_sec_mean,mean_runtime_sec_std,mean_runtime_sec_count,final_ledger_bytes_mean,final_ledger_bytes_std,final_ledger_bytes_count
ablation,fashion_mnist,alpha_0.5,model_scaling,trustfl_chain,0.2,cosine_only,0.4688333333333334,0.16741888583231382,3,0.6813333333333333,0.006211548384528051,3,0.16666666666666666,0.2886751345948129,3,0.08592592592592586,0.036890450658595066,3,0.22023809523809523,0.08438956475451086,3,0.2286860670194003,0.010818944172948005,3,1.516068092981974,0.008340334398256394,3,52228.666666666664,175.7763730804956,3
ablation,fashion_mnist,alpha_0.5,model_scaling,trustfl_chain,0.2,no_ledger,0.7096666666666667,0.014545904349105725,3,0.7241666666666666,0.008251262529657728,3,0.8190476190476191,0.032991443953692856,3,0.8026455026455027,0.006782038981168224,3,0.13095238095238093,0.010309826235528995,3,0.09939594356261017,0.023375303938654935,3,1.630414933628506,0.04398338135667714,3,0.0,0.0,3
ablation,fashion_mnist,alpha_0.5,model_scaling,trustfl_chain,0.2,no_reputation,0.5924999999999999,0.13339321571954096,3,0.7133333333333333,0.011015141094572205,3,0.8857142857142857,0.1030157507275426,3,0.7675132275132276,0.02176981860511492,3,0.08928571428571426,0.07783748113465486,3,0.11318783068783067,0.012796065489559763,3,1.6256482468711004,0.03432096743233416,3,53026.333333333336,12.701705922172293,3
ablation,fashion_mnist,alpha_0.5,model_scaling,trustfl_chain,0.2,no_temporal,0.7134999999999999,0.018255136263528617,3,0.723,0.009539392014169439,3,0.7555555555555555,0.07698003589195015,3,0.7985802469135802,0.04456390104527864,3,0.22619047619047616,0.17526704600399348,3,0.10955908289241617,0.021727479298397225,3,1.6249098247951934,0.009316559972443328,3,54605.666666666664,98.64245198358199,3
cifar_supplement,cifar10,alpha_0.5,gaussian_noise,cosine,0.2,full,0.09983333333333333,0.005965176722724425,3,0.12333333333333334,0.007320063751999253,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.3507773399353027,0.10915818811703398,3,33143.333333333336,1.527525231652145,3
cifar_supplement,cifar10,alpha_0.5,gaussian_noise,fedavg,0.2,full,0.09783333333333333,0.005107184482014858,3,0.121,0.012678722333105963,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.4853875597318014,0.35130329631821655,3,33142.0,2.6457513110645907,3
cifar_supplement,cifar10,alpha_0.5,gaussian_noise,trimmed_mean,0.2,full,0.209,0.02144178164239157,3,0.22283333333333333,0.016312060977489443,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.6933381915092471,0.506132452920525,3,33146.0,2.6457513110645907,3
cifar_supplement,cifar10,alpha_0.5,gaussian_noise,trustfl_chain,0.2,full,0.2966666666666667,0.036490866437141965,3,0.3021666666666667,0.028005951748393296,3,0.5357142857142857,0.46702488680792925,3,0.8051984126984127,0.051007470959913086,3,0.20952380952380953,0.07190318509781668,3,0.09736111111111108,0.005960213101193636,3,1.6093929886817933,0.07647979762355987,3,36154.333333333336,129.1136450315512,3
cifar_supplement,cifar10,alpha_0.5,model_scaling,cosine,0.2,full,0.1155,0.020802644062714728,3,0.15616666666666668,0.03175820104057112,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.4179871678352356,0.022365093351406753,3,33144.0,2.6457513110645907,3
cifar_supplement,cifar10,alpha_0.5,model_scaling,fedavg,0.2,full,0.15566666666666665,0.05831452077598969,3,0.19333333333333333,0.04221768981521057,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,1.502465546131134,0.10423750396199397,3,33143.666666666664,1.1547005383803017,3
