source,attack,seed_count,final_accuracy_mean,final_accuracy_std,best_accuracy_mean,mean_f1_mean,final_fpr_mean,mean_runtime_sec_mean,final_ledger_bytes_mean
old_final_artifacts,gaussian_noise,3,0.7815,0.0225166604983953,0.7869999999999999,0.8024074074074075,0.0416666666666666,1.448887422349718,54618.333333333336
old_final_artifacts,label_flip,3,0.7120000000000001,0.0160390149323454,0.7171666666666666,0.6444885361552027,0.0892857142857142,1.4632667673958677,55219.66666666666
old_final_artifacts,model_scaling,3,0.7096666666666667,0.0145459043491057,0.7241666666666666,0.8026455026455027,0.1309523809523809,1.4726002958085802,54837.0
old_final_artifacts,sign_flip,3,0.6536666666666666,0.0394535591972806,0.6856666666666666,0.4610846560846561,0.3035714285714285,1.4431627935833402,55726.333333333336
rerun_direction_filter,gaussian_noise,3,0.08900000000000001,0.008888194417315587,0.16533333333333333,0.8303968253968255,0.0,2.2514701366424563,54261.0
rerun_direction_filter,label_flip,3,0.43733333333333335,0.05477529856909347,0.4833333333333334,0.22183421516754845,0.22023809523809523,1.2532882372538248,55300.0
rerun_direction_filter,model_scaling,3,0.40166666666666667,0.10606758851474535,0.5243333333333333,0.8106966490299824,0.13095238095238093,1.5845240751902263,54463.0
rerun_direction_filter,sign_flip,3,0.462,0.0898220462915425,0.47666666666666674,0.2642151675485009,0.38690476190476186,1.2372768269644843,55296.333333333336
rerun_reputation_weighted,gaussian_noise,3,0.698,0.023643180835073746,0.7096666666666667,0.8175485008818342,0.09523809523809523,1.0980611880620321,108553.0
rerun_reputation_weighted,label_flip,3,0.39233333333333337,0.060119325789078276,0.45799999999999996,0.1760846560846561,0.38690476190476186,1.0902781751420763,110821.0
rerun_reputation_weighted,model_scaling,3,0.5416666666666666,0.047374395334751566,0.6093333333333333,0.7851322751322751,0.08333333333333333,1.0835879855685764,109137.0
rerun_reputation_weighted,sign_flip,3,0.3446666666666667,0.10356318522203406,0.4046666666666667,0.23519400352733685,0.3452380952380952,1.0184282355838352,110507.66666666667
