round,client_id,reputation,malicious
1,0,1.0,1
1,1,1.0,0
1,2,1.0,0
1,3,1.0,1
1,4,1.0,0
1,5,1.0,0
1,6,1.0,0
1,7,0.8184209203341244,1
1,8,1.0,1
1,9,1.0,0
1,10,1.0,0
1,11,0.65,0
1,12,1.0,0
1,13,0.65,0
1,14,1.0,0
1,15,1.0,0
1,16,1.0,0
1,17,1.0,0
1,18,1.0,0
1,19,1.0,0
2,0,1.0,1
2,1,1.0,0
2,2,1.0,0
2,3,1.0,1
2,4,1.0,0
2,5,1.0,0
2,6,1.0,0
2,7,0.5319735982171808,1
2,8,1.0,1
2,9,1.0,0
2,10,1.0,0
2,11,0.65,0
2,12,1.0,0
2,13,0.42250000000000004,0
2,14,1.0,0
2,15,1.0,0
2,16,1.0,0
2,17,1.0,0
2,18,1.0,0
2,19,1.0,0
3,0,1.0,1
3,1,1.0,0
3,2,1.0,0
3,3,0.65,1
3,4,1.0,0
3,5,1.0,0
3,6,1.0,0
3,7,0.5319735982171808,1
3,8,1.0,1
3,9,1.0,0
3,10,1.0,0
3,11,0.6675,0
3,12,1.0,0
3,13,0.27462500000000006,0
3,14,1.0,0
3,15,1.0,0
3,16,1.0,0
3,17,1.0,0
3,18,1.0,0
3,19,1.0,0
4,0,1.0,1
4,1,1.0,0
4,2,1.0,0
4,3,0.5181706277571527,1
4,4,1.0,0
4,5,1.0,0
4,6,1.0,0
4,7,0.34578283884116756,1
4,8,1.0,1
4,9,1.0,0
4,10,1.0,0
4,11,0.433875,0
4,12,1.0,0
4,13,0.27462500000000006,0
4,14,1.0,0
4,15,1.0,0
4,16,1.0,0
4,17,1.0,0
4,18,1.0,0
4,19,1.0,0
5,0,0.6991455307657053,1
5,1,1.0,0
5,2,0.65,0
5,3,0.38958748509736196,1
5,4,1.0,0
5,5,1.0,0
5,6,1.0,0
5,7,0.34578283884116756,1
5,8,1.0,1
5,9,1.0,0
5,10,1.0,0
5,11,0.28201875000000004,0
5,12,1.0,0
5,13,0.27462500000000006,0
5,14,1.0,0
5,15,1.0,0
5,16,1.0,0
5,17,1.0,0
5,18,1.0,0
5,19,1.0,0
6,0,0.6991455307657053,1
6,1,1.0,0
6,2,0.5067090917871506,0
6,3,0.2532318653132853,1
6,4,1.0,0
6,5,1.0,0
6,6,1.0,0
6,7,0.22475884524675893,1
6,8,1.0,1
6,9,1.0,0
6,10,1.0,0
6,11,0.28201875000000004,0
6,12,1.0,0
6,13,0.27462500000000006,0
6,14,1.0,0
6,15,1.0,0
6,16,1.0,0
6,17,1.0,0
6,18,1.0,0
6,19,1.0,0
7,0,0.6991455307657053,1
7,1,0.7550511709791148,0
7,2,0.5067090917871506,0
7,3,0.2532318653132853,1
7,4,1.0,0
7,5,1.0,0
7,6,1.0,0
7,7,0.22475884524675893,1
7,8,0.8213948889421049,1
7,9,1.0,0
7,10,0.8249648143374095,0
7,11,0.18331218750000003,0
7,12,1.0,0
7,13,0.17850625000000006,0
7,14,1.0,0
7,15,1.0,0
7,16,1.0,0
7,17,1.0,0
7,18,1.0,0
7,19,1.0,0
8,0,0.6991455307657053,1
8,1,0.7550511709791148,0
8,2,0.5067090917871506,0
8,3,0.2532318653132853,1
8,4,1.0,0
8,5,1.0,0
8,6,1.0,0
8,7,0.18181855864460097,1
8,8,0.5339066778123682,1
8,9,1.0,0
8,10,0.5362271293193163,0
8,11,0.135713222234817,0
8,12,1.0,0
8,13,0.17850625000000006,0
8,14,0.797619275377804,0
8,15,1.0,0
8,16,1.0,0
8,17,1.0,0
8,18,1.0,0
8,19,1.0,0
9,0,0.6991455307657053,1
9,1,0.4907832611364246,0
9,2,0.5067090917871506,0
9,3,0.2532318653132853,1
9,4,1.0,0
9,5,1.0,0
9,6,0.8130449224037938,0
9,7,0.11818206311899064,1
9,8,0.5339066778123682,1
9,9,1.0,0
9,10,0.38539107843373777,0
9,11,0.135713222234817,0
9,12,1.0,0
9,13,0.17850625000000006,0
9,14,0.797619275377804,0
9,15,0.8092662311469051,0
9,16,1.0,0
9,17,1.0,0
9,18,1.0,0
9,19,1.0,0
10,0,0.6991455307657053,1
10,1,0.4907832611364246,0
10,2,0.5313736371977931,0
10,3,0.2532318653132853,1
10,4,1.0,0
10,5,1.0,0
10,6,0.8223926762836041,0
10,7,0.07681834102734392,1
10,8,0.5339066778123682,1
10,9,1.0,0
10,10,0.25050420098192955,0
10,11,0.135713222234817,0
10,12,1.0,0
10,13,0.17850625000000006,0
10,14,0.797619275377804,0
10,15,0.8188029195895599,0
10,16,1.0,0
10,17,0.8205226387519772,0
10,18,1.0,0
10,19,0.7871951430640317,0
11,0,0.6991455307657053,1
11,1,0.4907832611364246,0
11,2,0.5313736371977931,0
11,3,0.20018593948754285,1
11,4,1.0,0
11,5,1.0,0
11,6,0.5345552395843427,0
11,7,0.05,1
11,8,0.5572113439217499,1
11,9,1.0,0
11,10,0.25050420098192955,0
11,11,0.135713222234817,0
11,12,1.0,0
11,13,0.21958093750000007,0
11,14,0.8077383116089137,0
11,15,0.8188029195895599,0
11,16,1.0,0
11,17,0.8294965068143784,0
11,18,1.0,0
11,19,0.7871951430640317,0
12,0,0.6991455307657053,1
12,1,0.319009119738676,0
12,2,0.5548049553379034,0
12,3,0.20018593948754285,1
12,4,1.0,0
12,5,1.0,0
12,6,0.5345552395843427,0
12,7,0.05,1
12,8,0.5572113439217499,1
12,9,1.0,0
12,10,0.19204992681012645,0
12,11,0.135713222234817,0
12,12,0.719169611663174,0
12,13,0.15797132055071936,0
12,14,0.8077383116089137,0
12,15,0.8278627736100819,0
12,16,1.0,0
12,17,0.5391727294293459,0
12,18,0.7256474697099535,0
12,19,0.7871951430640317,0
13,0,0.71418825422742,1
13,1,0.319009119738676,0
13,2,0.5770647075710083,0
13,3,0.20018593948754285,1
13,4,0.7719450271035961,0
13,5,1.0,0
13,6,0.5345552395843427,0
13,7,0.05,1
13,8,0.5793507767256624,1
13,9,1.0,0
13,10,0.1248324524265822,0
13,11,0.135713222234817,0
13,12,0.577764908173889,0
13,13,0.1286421095656678,0
13,14,0.8173513960284681,0
13,15,0.8364696349295778,0
13,16,1.0,0
13,17,0.3504622741290749,0
13,18,0.7256474697099535,0
13,19,0.7871951430640317,0
14,0,0.728478841516049,1
14,1,0.319009119738676,0
14,2,0.5982114721924578,0
14,3,0.13012086066690284,1
14,4,0.7833477757484163,0
14,5,1.0,0
14,6,0.5578274776051255,0
14,7,0.05,1
