round,client_id,reputation,malicious
1,0,1.0,1
1,1,1.0,0
1,2,1.0,0
1,3,0.65,1
1,4,1.0,0
1,5,1.0,0
1,6,1.0,0
1,7,0.65,1
1,8,1.0,1
1,9,1.0,0
1,10,1.0,0
1,11,1.0,0
1,12,1.0,0
1,13,0.8241462507501245,0
1,14,1.0,0
1,15,1.0,0
1,16,1.0,0
1,17,1.0,0
1,18,1.0,0
1,19,1.0,0
2,0,1.0,1
2,1,1.0,0
2,2,1.0,0
2,3,0.42250000000000004,1
2,4,1.0,0
2,5,1.0,0
2,6,1.0,0
2,7,0.42250000000000004,1
2,8,1.0,1
2,9,1.0,0
2,10,1.0,0
2,11,1.0,0
2,12,1.0,0
2,13,0.6249821651467637,0
2,14,1.0,0
2,15,1.0,0
2,16,1.0,0
2,17,1.0,0
2,18,1.0,0
2,19,1.0,0
3,0,1.0,1
3,1,1.0,0
3,2,1.0,0
3,3,0.27462500000000006,1
3,4,1.0,0
3,5,1.0,0
3,6,1.0,0
3,7,0.42250000000000004,1
3,8,0.65,1
3,9,1.0,0
3,10,0.7978300430156916,0
3,11,1.0,0
3,12,1.0,0
3,13,0.6437330568894255,0
3,14,1.0,0
3,15,1.0,0
3,16,1.0,0
3,17,1.0,0
3,18,1.0,0
3,19,1.0,0
4,0,1.0,1
4,1,1.0,0
4,2,1.0,0
4,3,0.17850625000000006,1
4,4,1.0,0
4,5,1.0,0
4,6,1.0,0
4,7,0.27462500000000006,1
4,8,0.5124812977842012,1
4,9,1.0,0
4,10,0.7978300430156916,0
4,11,1.0,0
4,12,1.0,0
4,13,0.6437330568894255,0
4,14,1.0,0
4,15,1.0,0
4,16,1.0,0
4,17,0.8094849904410374,0
4,18,1.0,0
4,19,1.0,0
5,0,1.0,1
5,1,1.0,0
5,2,1.0,0
5,3,0.11602906250000004,1
5,4,1.0,0
5,5,1.0,0
5,6,1.0,0
5,7,0.27462500000000006,1
5,8,0.5124812977842012,1
5,9,1.0,0
5,10,0.7978300430156916,0
5,11,0.65,0
5,12,1.0,0
5,13,0.6437330568894255,0
5,14,1.0,0
5,15,1.0,0
5,16,1.0,0
5,17,0.8094849904410374,0
5,18,1.0,0
5,19,1.0,0
6,0,1.0,1
6,1,1.0,0
6,2,0.8154738567529027,0
6,3,0.08441922667299934,1
6,4,1.0,0
6,5,1.0,0
6,6,1.0,0
6,7,0.17850625000000006,1
6,8,0.5124812977842012,1
6,9,1.0,0
6,10,0.5185895279601995,0
6,11,0.65,0
6,12,1.0,0
6,13,0.6437330568894255,0
6,14,1.0,0
6,15,1.0,0
6,16,1.0,0
6,17,0.8094849904410374,0
6,18,1.0,0
6,19,1.0,0
7,0,1.0,1
7,1,1.0,0
7,2,0.8154738567529027,0
7,3,0.08441922667299934,1
7,4,1.0,0
7,5,0.7424679348810137,0
7,6,1.0,0
7,7,0.17850625000000006,1
7,8,0.33311284355973075,1
7,9,1.0,0
7,10,0.3370831931741297,0
7,11,0.6675,0
7,12,1.0,0
7,13,0.6615464040449542,0
7,14,1.0,0
7,15,1.0,0
7,16,1.0,0
7,17,0.8190107409189855,0
7,18,1.0,0
7,19,1.0,0
8,0,1.0,1
8,1,1.0,0
8,2,0.8154738567529027,0
8,3,0.08441922667299934,1
8,4,1.0,0
8,5,0.4826041576726589,0
8,6,1.0,0
8,7,0.11602906250000004,1
8,8,0.3664572013817442,1
8,9,1.0,0
8,10,0.37022903351542324,0
8,11,0.684125,0
8,12,1.0,0
8,13,0.6615464040449542,0
8,14,1.0,0
8,15,1.0,0
8,16,1.0,0
8,17,0.8280602038730362,0
8,18,1.0,0
8,19,1.0,0
9,0,1.0,1
9,1,1.0,0
9,2,0.8154738567529027,0
9,3,0.08441922667299934,1
9,4,1.0,0
9,5,0.3136927024872283,0
9,6,1.0,0
9,7,0.07541889062500003,1
9,8,0.3664572013817442,1
9,9,1.0,0
9,10,0.30228963529296476,0
9,11,0.684125,0
9,12,1.0,0
9,13,0.6615464040449542,0
9,14,1.0,0
9,15,1.0,0
9,16,1.0,0
9,17,0.8366571936793844,0
9,18,1.0,0
9,19,0.7797853552645799,0
10,0,1.0,1
10,1,1.0,0
10,2,0.8247001639152576,0
10,3,0.08441922667299934,1
10,4,1.0,0
10,5,0.3136927024872283,0
10,6,1.0,0
10,7,0.05,1
10,8,0.3664572013817442,1
10,9,1.0,0
10,10,0.3371751535283165,0
10,11,0.684125,0
10,12,1.0,0
10,13,0.6615464040449542,0
10,14,1.0,0
10,15,1.0,0
10,16,1.0,0
10,17,0.8448243339954152,0
10,18,1.0,0
10,19,0.506860480921977,0
11,0,1.0,1
11,1,1.0,0
11,2,0.8247001639152576,0
11,3,0.05487249733744957,1
11,4,1.0,0
11,5,0.3480080673628669,0
11,6,1.0,0
11,7,0.05,1
11,8,0.398134341312657,1
11,9,1.0,0
11,10,0.3371751535283165,0
11,11,0.684125,0
11,12,1.0,0
11,13,0.6784690838427065,0
11,14,1.0,0
11,15,1.0,0
11,16,1.0,0
11,17,0.8525831172956445,0
11,18,1.0,0
11,19,0.506860480921977,0
12,0,1.0,1
12,1,0.8120357308168735,0
12,2,0.8334651557194948,0
12,3,0.05487249733744957,1
12,4,0.65,0
12,5,0.3480080673628669,0
12,6,1.0,0
12,7,0.05,1
12,8,0.398134341312657,1
12,9,1.0,0
12,10,0.21916384979340572,0
12,11,0.684125,0
12,12,0.76239911319782,0
12,13,0.6945456296505712,0
12,14,1.0,0
12,15,1.0,0
12,16,0.8131948822291348,0
12,17,0.8599539614308623,0
12,18,1.0,0
12,19,0.506860480921977,0
13,0,0.7795218307350122,1
13,1,0.8120357308168735,0
13,2,0.5417523512176716,0
13,3,0.05487249733744957,1
13,4,0.6675,0
13,5,0.3480080673628669,0
13,6,1.0,0
13,7,0.05,1
13,8,0.42822762424702415,1
13,9,1.0,0
13,10,0.14245650236571372,0
13,11,0.684125,0
13,12,0.7742791575379291,0
13,13,0.7098183481680427,0
13,14,1.0,0
13,15,1.0,0
13,16,0.8131948822291348,0
13,17,0.8669562633593192,0
13,18,1.0,0
13,19,0.506860480921977,0
14,0,0.7905457391982617,1
14,1,0.8120357308168735,0
14,2,0.3521390282914866,0
14,3,0.05,1
14,4,0.684125,0
14,5,0.3480080673628669,0
14,6,1.0,0
14,7,0.05,1
14,8,0.45681624303467294,1
14,9,1.0,0
14,10,0.18533367724742805,0
14,11,0.684125,0
14,12,0.7742791575379291,0
14,13,0.7098183481680427,0
14,14,1.0,0
